                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                   "x86_64-linux-20.12.1"                                 "CRMATH"                               "20210304"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104 
                            model_number                                 star_age                                star_mass                                star_mdot                                num_zones               log_total_angular_momentum                                 log_Teff                              effective_T                            photosphere_L                            photosphere_r                               luminosity                                    log_L                                    log_R                                   radius                                    log_g                                 log_Ledd                           log_L_div_Ledd                    surface_optical_depth                           surf_avg_j_rot                           surf_avg_omega            surf_avg_omega_div_omega_crit                      surf_avg_omega_crit                           surf_avg_v_rot                          surf_avg_v_crit                            surf_escape_v                    rotational_mdot_boost            surf_r_equatorial_div_r_polar                              cz_top_mass                            cz_top_radius                             cz_top_omega                             he_core_mass                           he_core_radius                            he_core_omega                              c_core_mass                            c_core_radius                             c_core_omega                                 log_Lnuc                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                             center_omega                                center_h1                               center_he4                               center_c12                               center_n14                               center_o16                              center_si28                              surface_c12                              surface_n14                              surface_o16                             surface_fe56                           log_surface_h1                          log_surface_he4                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                                   burn_c                                   burn_n                                   burn_o                       c_log_eps_burn_cno                        v_div_csound_surf                   surface_accel_div_grav                              num_retries                             k_const_mass                             q_const_mass                                  Gamma_e                                     vesc                                     vinf                                 w_vink01                             use_w_vink01                                 w_vink18                             use_w_vink18                                 w_leuven                             use_w_leuven                                w_krticka                            use_w_krticka                                 w_beasor                             use_w_beasor                                    w_kee                                use_w_kee                                 w_sander                             use_w_sander                                    f_rot                                Mdot_orig 
                                       1                  3.5860956909327943E+000                  5.9999988365065086E+001                 -3.2444574612330096E-006                                     2325                  5.2873430486390163E+001                  4.6672848193559906E+000                  4.6482001391975748E+004                  5.2021564892093936E+005                  1.1121803772048834E+001                  5.2021564892093936E+005                  5.7161834123308068E+000                  1.0461752283179198E+000                  1.1121803772048834E+001                  4.1238683368344615E+000                  5.8637982877146237E+000                 -1.4761487538381712E-001                  6.6666666666666663E-001                  5.0764433496528579E+018                  1.2913252405633334E-005                  1.8309111325177219E-001                  7.0530645868243142E-005                  9.9065733302871962E+001                  5.4107735606392339E+002                  1.4346560102921125E+008                  0.0000000000000000E+000                  1.0058215651195144E+000                  4.5985841458672439E+001                  4.6511294197807258E+000                  1.4106129173648628E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.4976656743540344E+000                  4.6010850569124308E+001                  7.6643083960075631E-001                  7.8127761038437882E-008                  9.9999999809163964E-001                  9.9999998438382243E-001                  1.0000000000000000E+000                  7.8127761038437882E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6844757036719798E+034                  7.4056461901444659E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.6010319265600828E+000                  3.1237651084641438E-001                  1.6243937647140328E+001                  6.1123909303271862E-001                  1.2902918408936816E-005                  7.1999710894679991E-001                  2.6600003852838627E-001                  1.8145426510367058E-003                  6.3647272550376222E-004                  6.5712640549653685E-003                  0.0000000000000000E+000                  1.8316842575900898E-003                  6.1644275234446877E-004                  6.5712999774571786E-003                  0.0000000000000000E+000                 -1.4266750356873187E-001                 -5.7511836336893352E-001                  4.3199862633250397E+001                  1.5959998620845877E+001                  1.5624574901591499E+000                  6.4976606326349025E+000                 -2.5741672162872515E+001                 -1.5913565003095252E+001                 -1.9521197318154105E+001                 -2.5150949316074833E+001                  6.3313612103817931E+000                  1.6233617560632564E-005                  6.4371901261631022E-011                                        0                                      646                  9.7978371874572479E-001                  5.9709747341863210E-035                  1.4346560102921125E+008                  3.7301056267594928E+008                  1.9492300823281117E-006                  0.0000000000000000E+000                  3.2060826028199591E-006                  1.0000000000000000E+000                  7.8730538497004173E-007                  0.0000000000000000E+000                  3.9983935798673246E-007                  0.0000000000000000E+000                  2.0255259028559916E-013                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.0000526102684979E+000                  0.0000000000000000E+000                  1.0100573755886204E+000                  3.2060826028199591E-006 
                                       2                  6.4549722436790304E+000                  5.9999979056462109E+001                 -3.2446857849001031E-006                                     3360                  5.2911671872606640E+001                  4.6664998639729864E+000                  4.6398064465697476E+004                  5.1654598267313431E+005                  1.1122641182093131E+001                  5.1654598267313431E+005                  5.7131089882609016E+000                  1.0462079270489737E+000                  1.1122641182093131E+001                  4.1238028719944202E+000                  5.8628471250872902E+000                 -1.4973813682638884E-001                  6.6666666666666663E-001                  5.5078710445225964E+018                  1.3996773199683840E-005                  1.9787601543518071E-001                  7.0736590774334829E-005                  1.0741647485525914E+002                  5.4285127432261675E+002                  1.4346018912432751E+008                  0.0000000000000000E+000                  1.0058571832783867E+000                  2.2674470350032490E+001                  2.9962790403712076E+000                  1.4147318154866966E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.4794319834245311E+000                  2.2685627602090278E+001                  3.7790797107937335E-001                  7.8127774472136480E-008                  9.9999999838368858E-001                  9.9999998012508307E-001                  1.0000000000000000E+000                  7.8127774472136480E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6638374461730554E+034                  7.3866232485965317E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.6005524345932196E+000                  3.0908208210859101E-001                  1.6240840535898393E+001                  6.1124132104362983E-001                  1.4057127959044349E-005                  7.1999300569195379E-001                  2.6600009565420446E-001                  1.7902280531214996E-003                  6.6488464351651614E-004                  6.5712127554091622E-003                  0.0000000000000000E+000                  1.8316842575900934E-003                  6.1644275234446985E-004                  6.5712999774571908E-003                  0.0000000000000000E+000                 -1.4266750356873140E-001                 -5.7511836336893263E-001                  4.3199756988993904E+001                  1.5959997520212813E+001                  1.5605638334342393E+000                  6.4794267483993044E+000                 -2.5783511693344824E+001                 -1.5944793393956822E+001                 -1.9530891618621201E+001                 -2.5182859859286015E+001                  6.3162085863034454E+000                  1.0862979981916145E-007                 -7.9940471694743392E-011                                        0                                      570                  9.7978387075273854E-001                  5.9288556514795187E-035                  1.4346018912432751E+008                  3.7299649172325152E+008                  1.8287896779166454E-006                  0.0000000000000000E+000                  3.2060812972304115E-006                  1.0000000000000000E+000                  7.3333958009270832E-007                  0.0000000000000000E+000                  4.1903442378364795E-007                  0.0000000000000000E+000                  1.7285544130581198E-013                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.0000495308092827E+000                  0.0000000000000000E+000                  1.0117721710158041E+000                  3.2060812972304115E-006 
                                       3                  9.2680576246877280E+000                  5.9999969929336594E+001                 -3.2445248819391372E-006                                     3360                  5.2914379981131731E+001                  4.6660486523327673E+000                  4.6349884081223077E+004                  5.1479920093406324E+005                  1.1126915456937637E+001                  5.1479920093406324E+005                  5.7116378641255183E+000                  1.0463747882617214E+000                  1.1126915456937637E+001                  4.1234690835045589E+000                  5.8624232115506976E+000                 -1.5078534742517910E-001                  6.6666666666666663E-001                  5.5292513142251602E+018                  1.4038984514155984E-005                  1.9793669670593592E-001                  7.0928156492957423E-005                  1.0778615207769235E+002                  5.4455249485540787E+002                  1.4343262128872648E+008                  0.0000000000000000E+000                  1.0058958922024988E+000                  3.2379242454294861E+001                  3.6356497517634980E+000                  1.4185631298591487E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.4670502272997004E+000                  3.2397579076099753E+001                  5.3965431136763353E-001                  7.8127785907433633E-008                  9.9999999830420694E-001                  9.9999998012508307E-001                  1.0000000000000000E+000                  7.8127785907433633E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6333698215654700E+034                  7.3754940308586469E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5999327408987973E+000                  3.0730218931622399E-001                  1.6238411550508786E+001                  6.1124220061439449E-001                  1.4107706028261065E-005                  7.1999137160769933E-001                  2.6600011897360309E-001                  1.7805485125324634E-003                  6.7619528310169073E-004                  6.5711923642876782E-003                  0.0000000000000000E+000                  1.8316842575900943E-003                  6.1644275234447007E-004                  6.5712999774571942E-003                  0.0000000000000000E+000                 -1.4266750356873129E-001                 -5.7511836336893252E-001                  4.3199656129146668E+001                  1.5959996424595808E+001                  1.5582152524701580E+000                  6.4670448699250898E+000                 -2.5817397457180871E+001                 -1.5967594475379064E+001                 -1.9546726689860225E+001                 -2.5208645957252038E+001                  6.3041633826484311E+000                  5.6473337337339850E-007                  2.2940087784596057E-012                                        0                                      570                  9.7978401979631924E-001                  5.9088071895024591E-035                  1.4343262128872648E+008                  3.7292481535068887E+008                  1.8021778560344973E-006                  0.0000000000000000E+000                  3.2060802526854670E-006                  1.0000000000000000E+000                  7.2226410744221227E-007                  0.0000000000000000E+000                  4.1909033769866013E-007                  0.0000000000000000E+000                  1.6708134423089135E-013                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.0000488886626608E+000                  0.0000000000000000E+000                  1.0117794999504637E+000                  3.2060802526854670E-006 
                                       4                  1.2643760081898165E+001                  5.9999958976774728E+001                 -3.2445282135487751E-006                                     3360                  5.2916786707078920E+001                  4.6655895872694195E+000                  4.6300916452772304E+004                  5.1334559747378068E+005                  1.1134709917227033E+001                  5.1334559747378068E+005                  5.7104098418016651E+000                  1.0466789072264897E+000                  1.1134709917227033E+001                  4.1228607662976895E+000                  5.8622057814778650E+000                 -1.5179593967619937E-001                  6.6666666666666663E-001                  5.5517736227467684E+018                  1.4075252696780569E-005                  1.9805077068212876E-001                  7.1070424797950026E-005                  1.0814398970346194E+002                  5.4604563182193897E+002                  1.4338239694378400E+008                  0.0000000000000000E+000                  1.0059322976045326E+000                  4.0025311697506766E+001                  4.1826128937777991E+000                  1.4214084959590005E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.4529878231808384E+000                  4.0040391028397302E+001                  6.6708898439414077E-001                  7.8127799452154534E-008                  9.9999999830420694E-001                  9.9999998021328829E-001                  1.0000000000000000E+000                  7.8127799452154534E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6098142579031674E+034                  7.3476100337641804E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5992082367617586E+000                  3.0513512047510349E-001                  1.6235517181554755E+001                  6.1124306533423001E-001                  1.4138391649308485E-005                  7.1998975224561601E-001                  2.6600014258621679E-001                  1.7709591214725257E-003                  6.8740066036728528E-004                  6.5711720735878677E-003                  0.0000000000000000E+000                  1.8316842575900943E-003                  6.1644275234446996E-004                  6.5712999774571942E-003                  0.0000000000000000E+000                 -1.4266750356873129E-001                 -5.7511836336893252E-001                  4.3199538705419947E+001                  1.5959995083043820E+001                  1.5551029063201114E+000                  6.4529823290102266E+000                 -2.5857124104925926E+001                 -1.5993843554822780E+001                 -1.9566666349248749E+001                 -2.5238794216822242E+001                  6.2903841790862911E+000                  8.5933689220233708E-007                  1.2313485963505127E-012                                        0                                      570                  9.7978419864885968E-001                  5.8921239684303416E-035                  1.4338239694378400E+008                  3.7279423205383843E+008                  1.7897068735900432E-006                  0.0000000000000000E+000                  3.2060792285048064E-006                  1.0000000000000000E+000                  7.1702377544442922E-007                  0.0000000000000000E+000                  4.1952897677618160E-007                  0.0000000000000000E+000                  1.6438745203465439E-013                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.0000485835834119E+000                  0.0000000000000000E+000                  1.0117932827640905E+000                  3.2060792285048064E-006 
                                       5                  1.6694603030550688E+001                  5.9999945833669400E+001                 -3.2445358876564343E-006                                     3360                  5.2919068138102872E+001                  4.6651075071871144E+000                  4.6249549542136723E+004                  5.1197457514906419E+005                  1.1144545037445276E+001                  5.1197457514906419E+005                  5.7092483942831898E+000                  1.0470623436318622E+000                  1.1144545037445276E+001                  4.1220937983538999E+000                  5.8620723235200343E+000                 -1.5282392923684432E-001                  6.6666666666666663E-001                  5.5722247587866194E+018                  1.4101241173099033E-005                  1.9810296171219971E-001                  7.1182882900299783E-005                  1.0844234888183794E+002                  5.4740784641165988E+002                  1.4331909941827917E+008                  0.0000000000000000E+000                  1.0059670334053692E+000                  4.3716591323048981E+001                  4.4845135306094930E+000                  1.4236576580059958E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.4361288972060411E+000                  4.3725359505542322E+001                  7.2861051315344860E-001                  7.8127814773232274E-008                  9.9999999830420694E-001                  9.9999997941529317E-001                  1.0000000000000000E+000                  7.8127814773232274E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5822743851350992E+034                  7.3264149306749812E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5983661320791152E+000                  3.0256110434702493E-001                  1.6232117909381230E+001                  6.1124425850281217E-001                  1.4158902753206343E-005                  7.1998751748750900E-001                  2.6600017570781648E-001                  1.7577286824779761E-003                  7.0286073122758828E-004                  6.5711440065021592E-003                  0.0000000000000000E+000                  1.8316842575900902E-003                  6.1644275234446887E-004                  6.5712999774571786E-003                  0.0000000000000000E+000                 -1.4266750356873181E-001                 -5.7511836336893352E-001                  4.3199402806734362E+001                  1.5959993441153554E+001                  1.5516457285960936E+000                  6.4361232308484828E+000                 -2.5903396821332930E+001                 -1.6024891822898677E+001                 -1.9588492246706362E+001                 -2.5273848377948557E+001                  6.2737926474431873E+000                  9.0496056137114262E-007                  1.5483778471133074E-013                                        0                                      570                  9.7978441327250210E-001                  5.8763888131188443E-035                  1.4331909941827917E+008                  3.7262965848752588E+008                  1.7795027737221240E-006                  0.0000000000000000E+000                  3.2060779994869732E-006                  1.0000000000000000E+000                  7.1267853039182983E-007                  0.0000000000000000E+000                  4.2034891652123026E-007                  0.0000000000000000E+000                  1.6217229995460954E-013                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.0000483299985983E+000                  0.0000000000000000E+000                  1.0117995919209364E+000                  3.2060779994869732E-006 
                                       6                  2.1555614568933720E+001                  5.9999930061919414E+001                 -3.2445407425312622E-006                                     3360                  5.2921346062331850E+001                  4.6645733271247245E+000                  4.6192697796048960E+004                  5.1058403983280220E+005                  1.1156812237577965E+001                  5.1058403983280220E+005                  5.7080672352217050E+000                  1.0475401242258999E+000                  1.1156812237577965E+001                  4.1211381230059736E+000                  5.8620144494426656E+000                 -1.5394721422096119E-001                  6.6666666666666663E-001                  5.5949657091267553E+018                  1.4126381013640924E-005                  1.9821137557648208E-001                  7.1270779004897454E-005                  1.0875901339418361E+002                  5.4870604226820922E+002                  1.4324026741583642E+008                  0.0000000000000000E+000                  1.0060017765679561E+000                  4.4340343456460147E+001                  4.5472762144860557E+000                  1.4254155800979492E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.4161880423649080E+000                  4.4350222299801366E+001                  7.3900658568603816E-001                  7.8127835867469742E-008                  9.9999999830420694E-001                  9.9999997941529317E-001                  1.0000000000000000E+000                  7.8127835867469742E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5496527987443913E+034                  7.3012821422825845E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5974104647643284E+000                  2.9964035072744077E-001                  1.6228260341240123E+001                  6.1124589980080157E-001                  1.4173898902674539E-005                  7.1998444301102038E-001                  2.6600022232341847E-001                  1.7395330461773373E-003                  7.2412288598925018E-004                  6.5711052494611113E-003                  0.0000000000000000E+000                  1.8316842575900904E-003                  6.1644275234446866E-004                  6.5712999774571804E-003                  0.0000000000000000E+000                 -1.4266750356873187E-001                 -5.7511836336893352E-001                  4.3199246545119657E+001                  1.5959991436172611E+001                  1.5480596756082683E+000                  6.4161821585515701E+000                 -2.5955975208140011E+001                 -1.6060971406064848E+001                 -1.9611306171828073E+001                 -2.5313656356448469E+001                  6.2541589820741592E+000                  9.4209733585920695E-007                  1.0402500512799587E-013                                        0                                      570                  9.7978467082138232E-001                  5.8604299396077420E-035                  1.4324026741583639E+008                  3.7242469528117466E+008                  1.7699750290360863E-006                  0.0000000000000000E+000                  3.2060765246624133E-006                  1.0000000000000000E+000                  7.0859308688842320E-007                  0.0000000000000000E+000                  4.2137996437238004E-007                  0.0000000000000000E+000                  1.6010494687024005E-013                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.0000480910629777E+000                  0.0000000000000000E+000                  1.0118127021289460E+000                  3.2060765246624133E-006 
                                       7                  2.7388828414993355E+001                  5.9999911135832328E+001                 -3.2445385322720708E-006                                     3360                  5.2923689476645158E+001                  4.6639809556445124E+000                  4.6129734565206061E+004                  5.0914588667398493E+005                  1.1171522623003638E+001                  5.0914588667398493E+005                  5.7068422395069103E+000                  1.0481123693289272E+000                  1.1171522623003638E+001                  4.1199934958081510E+000                  5.8592880934947917E+000                 -1.5244585398788155E-001                  6.6666666666666663E-001                  5.6160115989560392E+018                  1.4141179227828360E-005                  1.9822417204743237E-001                  7.1340827084647926E-005                  1.0901958892333585E+002                  5.4998516248475983E+002                  1.4314590614782402E+008                  0.0000000000000000E+000                  1.0060376580304011E+000                  4.4695747870331417E+001                  4.5891956223519577E+000                  1.4268165416929586E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3935811143145589E+000                  4.4715702866655725E+001                  7.4493023446561124E-001                  7.8127860625443191E-008                  9.9999999830420694E-001                  9.9999997941529317E-001                  1.0000000000000000E+000                  7.8127860625443191E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5125202622798333E+034                  7.2726276969769205E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5963345005690837E+000                  2.9635453771553888E-001                  1.6223918826802599E+001                  6.1124778171983984E-001                  1.4183544814689614E-005                  7.1998091755804849E-001                  2.6600027761830286E-001                  1.7186793026655390E-003                  7.4849133991384837E-004                  6.5710605791820644E-003                  0.0000000000000000E+000                  1.8316842575900900E-003                  6.1644275234446877E-004                  6.5712999774571795E-003                  0.0000000000000000E+000                 -1.4266750356873195E-001                 -5.7511836336893352E-001                  4.3199067861712834E+001                  1.5959988983611909E+001                  1.5440353066803991E+000                  6.3935749732795362E+000                 -2.6015253428323682E+001                 -1.6101768913293583E+001                 -1.9637223134999154E+001                 -2.5358508557077045E+001                  6.2319013180670098E+000                  9.4301918792619892E-007                 -1.5949521075760734E-015                                        0                                      570                  9.7978497988000690E-001                  5.8439248122003590E-035                  1.4314590614782402E+008                  3.7217935598434246E+008                  1.7603939349359175E-006                  0.0000000000000000E+000                  3.2060747548707607E-006                  1.0000000000000000E+000                  7.0446232583628432E-007                  0.0000000000000000E+000                  4.2265807588885865E-007                  0.0000000000000000E+000                  1.5802973608651361E-013                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.0000478489684146E+000                  0.0000000000000000E+000                  1.0118142507269778E+000                  3.2060747548707607E-006 
                                       8                  3.4388685030264917E+001                  5.9999888424561533E+001                 -3.2445337164339311E-006                                     3360                  5.2926154874913074E+001                  4.6633254713856642E+000                  4.6060163090337592E+004                  5.0765294197531888E+005                  1.1188855671324584E+001                  5.0765294197531888E+005                  5.7055669073722086E+000                  1.0487856717792716E+000                  1.1188855671324584E+001                  4.1186467265175279E+000                  5.8593569084721882E+000                 -1.5379000109997981E-001                  6.6666666666666663E-001                  5.6383664465290947E+018                  1.4152486025766780E-005                  1.9823792151396830E-001                  7.1392911098579147E-005                  1.0927912808223962E+002                  5.5125624176583619E+002                  1.4303495993390480E+008                  0.0000000000000000E+000                  1.0060748762689684E+000                  4.5044990892770741E+001                  4.6324523577638077E+000                  1.4278582219715830E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3682319410772052E+000                  4.5065698636128680E+001                  7.5075124430283346E-001                  7.8127884939327430E-008                  9.9999999822472529E-001                  9.9999997941529317E-001                  1.0000000000000000E+000                  7.8127884939327430E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4706943520761667E+034                  7.2402783929826888E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5951330255981349E+000                  2.9268838585008178E-001                  1.6219072746359238E+001                  6.1124989097710281E-001                  1.4189289626444048E-005                  7.1997696592851534E-001                  2.6600034202941469E-001                  1.6953190361665802E-003                  7.7578906234162485E-004                  6.5710102041203582E-003                  0.0000000000000000E+000                  1.8316842575900941E-003                  6.1644275234447028E-004                  6.5712999774571960E-003                  0.0000000000000000E+000                 -1.4266750356873106E-001                 -5.7511836336893263E-001                  4.3198864685222290E+001                  1.5959985977169788E+001                  1.5395157365723791E+000                  6.3682254983264848E+000                 -2.6081548628705242E+001                 -1.6147453216350080E+001                 -1.9666699190718035E+001                 -2.5408634254158255E+001                  6.2069460857675205E+000                  9.2760628977216759E-007                 -3.4651246715413808E-014                                        0                                      570                  9.7978535075006312E-001                  5.8267911500405144E-035                  1.4303495993390480E+008                  3.7189089582815248E+008                  1.7505505169125813E-006                  0.0000000000000000E+000                  3.2060726311229092E-006                  1.0000000000000000E+000                  7.0020369448328560E-007                  0.0000000000000000E+000                  4.2417747141066594E-007                  0.0000000000000000E+000                  1.5590612893960645E-013                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.0000475988406490E+000                  0.0000000000000000E+000                  1.0118159146162657E+000                  3.2060726311229092E-006 
                                       9                  4.2788512968590787E+001                  5.9999861171090821E+001                 -3.2445272569740081E-006                                     3360                  5.2928752609679734E+001                  4.6626047581166459E+000                  4.5983789471187360E+004                  5.0610550626826816E+005                  1.1208930485137616E+001                  5.0610550626826816E+005                  5.7042410623214650E+000                  1.0495641757919367E+000                  1.1208930485137616E+001                  4.1170895212245870E+000                  5.8594869255970936E+000                 -1.5524586327562917E-001                  6.6666666666666663E-001                  5.6617324509361940E+018                  1.4159244429843840E-005                  1.9823397814220448E-001                  7.1428418512779819E-005                  1.0953054273120136E+002                  5.5253547181822466E+002                  1.4290678469970590E+008                  0.0000000000000000E+000                  1.0061139171503339E+000                  4.5388127200120621E+001                  4.6771093044882432E+000                  1.4285683702555965E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3400270194814290E+000                  4.5392709984777099E+001                  7.5647053700166833E-001                  7.8127919023174286E-008                  9.9999999822472529E-001                  9.9999997951069730E-001                  1.0000000000000000E+000                  7.8127919023174286E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4239134107378508E+034                  7.2040228504249159E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5938037062740591E+000                  2.8863536819752750E-001                  1.6213713059212111E+001                  6.1125224356721919E-001                  1.4191302386796277E-005                  7.1997255803580584E-001                  2.6600041697018101E-001                  1.6692798458625539E-003                  8.0621763177980579E-004                  6.5709536165963764E-003                  0.0000000000000000E+000                  1.8316842575900939E-003                  6.1644275234447028E-004                  6.5712999774571960E-003                  0.0000000000000000E+000                 -1.4266750356873106E-001                 -5.7511836336893274E-001                  4.3198634987899560E+001                  1.5959982284633966E+001                  1.5344985772881008E+000                  6.3400202233891516E+000                 -2.6155024208686811E+001                 -1.6198185870172498E+001                 -1.9699866090673154E+001                 -2.5464144635569873E+001                  6.1791815577971780E+000                  8.9697393738175124E-007                 -5.4804267713225880E-014                                        0                                      570                  9.7978579579361536E-001                  5.8090324719365905E-035                  1.4290678469970590E+008                  3.7155764021923536E+008                  1.7403915785322938E-006                  0.0000000000000000E+000                  3.2060700826302334E-006                  1.0000000000000000E+000                  6.9579742192503763E-007                  0.0000000000000000E+000                  4.2595024827514100E-007                  0.0000000000000000E+000                  1.5372581979222814E-013                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.0000473394612099E+000                  0.0000000000000000E+000                  1.0118154383112001E+000                  3.2060700826302334E-006 
