                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                   "x86_64-linux-20.12.1"                                 "CRMATH"                               "20210428"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104 
                            model_number                                 star_age                                star_mass                                star_mdot                                num_zones               log_total_angular_momentum                                 log_Teff                              effective_T                            photosphere_L                            photosphere_r                               luminosity                                    log_L                                    log_R                                   radius                                    log_g                                 log_Ledd                           log_L_div_Ledd                    surface_optical_depth                           surf_avg_j_rot                           surf_avg_omega            surf_avg_omega_div_omega_crit                      surf_avg_omega_crit                           surf_avg_v_rot                          surf_avg_v_crit                            surf_escape_v                    rotational_mdot_boost            surf_r_equatorial_div_r_polar                              cz_top_mass                            cz_top_radius                             cz_top_omega                             he_core_mass                           he_core_radius                            he_core_omega                              c_core_mass                            c_core_radius                             c_core_omega                                 log_Lnuc                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                             center_omega                                center_h1                               center_he4                               center_c12                               center_n14                               center_o16                              center_si28                              surface_c12                              surface_n14                              surface_o16                             surface_fe56                           log_surface_h1                          log_surface_he4                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                                   burn_c                                   burn_n                                   burn_o                       c_log_eps_burn_cno                        v_div_csound_surf                   surface_accel_div_grav                              num_retries                             k_const_mass                             q_const_mass                                  Gamma_e                                     vesc                                     vinf                                 w_vink01                             use_w_vink01                                 w_vink18                             use_w_vink18                                 w_leuven                             use_w_leuven                                w_krticka                            use_w_krticka                                 w_beasor                             use_w_beasor                                    w_kee                                use_w_kee                                 w_sander                             use_w_sander                                    f_rot                                Mdot_orig 
                                       1                  5.5901699437494777E+001                  1.9999998737435028E+001                 -2.2585448858393397E-008                                     2402                  5.2709025229480226E+001                  4.4914701642208481E+000                  3.1007743598139161E+004                  3.3679773067471753E+004                  6.3591257147104612E+000                  3.3679773067471753E+004                  4.5273691565842382E+000                  8.0339741071491910E-001                  6.3591257147104612E+000                  4.1323027741210252E+000                  5.1311520952785203E+000                 -6.0378293869428235E-001                  6.6666666666666663E-001                  1.2822647969165134E+019                  8.7264852135562399E-005                  6.0391988593261059E-001                  1.4449979558388547E-004                  3.9922021879829566E+002                  6.6105196882275231E+002                  1.0954084630347127E+008                  0.0000000000000000E+000                  1.1413812433000305E+000                  9.2053578120600505E+000                  1.7863889023730695E+000                  8.6699877350331279E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.2557472843721227E+000                  9.2159084926191390E+000                  4.6026791965891023E-001                  7.8131077829723949E-008                  9.9999999999394107E-001                  9.9999995858067836E-001                  1.0000000000000000E+000                  7.8131077829723949E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3093664597703043E+034                  1.9030079905999869E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5270419270319957E+000                  6.1414673064110115E-001                  1.6343533896649269E+001                  6.1124442859751571E-001                  8.9043553804651614E-005                  7.1998817601722576E-001                  2.6600013243124948E-001                  1.7614768618403481E-003                  6.9843408846870735E-004                  6.5712054543148610E-003                  0.0000000000000000E+000                  1.8316842575900926E-003                  6.1644275234446952E-004                  6.5712999774571899E-003                  0.0000000000000000E+000                 -1.4266750356873140E-001                 -5.7511836336893296E-001                  1.4399883910450036E+001                  5.3200009540134374E+000                  1.1530143557182171E+000                  5.2557130021848000E+000                 -2.9491480452916239E+001                 -1.8440009079920546E+001                 -2.2334628438233302E+001                 -2.8319794689547631E+001                  5.6425344355348681E+000                  6.7353467198042581E-006                  8.3947885396011841E-013                                        0                                      626                  9.7978790443987762E-001                  1.1597174065485900E-035                  1.0954084630347127E+008                  2.8480620038902533E+008                  2.8127900957848699E-008                  0.0000000000000000E+000                  3.1916853677164749E-007                  0.0000000000000000E+000                  3.8356329624190755E-009                  0.0000000000000000E+000                  1.9728585142726604E-008                  1.0000000000000000E+000                  2.2052689057217636E-009                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.1251325646049497E+000                  1.9728585142726604E-008 
                                       2                  1.0062305898749061E+002                  1.9999998231376630E+001                 -1.1315809838130368E-008                                     3382                  5.2696622582097056E+001                  4.4963114105499278E+000                  3.1355332503169415E+004                  3.5456149411978848E+004                  6.3808145731118602E+000                  3.5456149411978848E+004                  4.5496915688302435E+000                  8.0487612417976384E-001                  6.3808145731118602E+000                  4.1293453362024160E+000                  5.1426829822508697E+000                 -5.9299141342062578E-001                  6.6666666666666663E-001                  1.2922458865605003E+019                  8.6460893663521421E-005                  6.0541878830218065E-001                  1.4281436990011922E-004                  3.9812525728219879E+002                  6.5760716073057961E+002                  1.0935451775052428E+008                  0.0000000000000000E+000                  1.1392034991041886E+000                  9.6938889673506630E+000                  1.8416044932216440E+000                  8.5688621940071530E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.2281834082365721E+000                  9.6969402523938193E+000                  4.8469449122963337E-001                  7.8131080383236906E-008                  9.9999998947685875E-001                  9.9999994132917636E-001                  1.0000000000000000E+000                  7.8131080383236906E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2964240728066337E+034                  1.8959715381995664E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5261272366095175E+000                  6.0975765448330055E-001                  1.6338469124934761E+001                  6.1124866675652945E-001                  8.6159355550179576E-005                  7.1998023919529053E-001                  2.6600022983606991E-001                  1.7144008971819598E-003                  7.5341276899260046E-004                  6.5711406294511202E-003                  0.0000000000000000E+000                  1.8316842575900930E-003                  6.1644275234446974E-004                  6.5712999774571873E-003                  0.0000000000000000E+000                 -1.4266750356873148E-001                 -5.7511836336893296E-001                  1.4399797077947515E+001                  5.3200018746726974E+000                  1.1535285158829529E+000                  5.2281468363213142E+000                 -2.9548608609570824E+001                 -1.8483966650187330E+001                 -2.2338266005883085E+001                 -2.8360238454797067E+001                  5.6141871212297829E+000                  3.5466621830516975E-007                 -1.0002740291752529E-012                                        0                                      613                  9.7978792923137470E-001                  1.2208845528833565E-035                  1.0935451775052428E+008                  2.8432174615136313E+008                  1.0696316929843942E-008                  0.0000000000000000E+000                  3.1916849445969299E-007                  0.0000000000000000E+000                  2.0403752575781743E-009                  0.0000000000000000E+000                  1.0057347753933791E-008                  1.0000000000000000E+000                  5.3873134147962701E-010                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.1258541396665951E+000                  1.0057347753933791E-008 
                                       3                  1.3640014662748729E+002                  1.9999997781460387E+001                 -1.2575541219688921E-008                                     3382                  5.2693187714869630E+001                  4.4971610074731982E+000                  3.1416732012135919E+004                  3.5889288444772974E+004                  6.3946027466762798E+000                  3.5889288444772974E+004                  4.5549648479244329E+000                  8.0581356988031760E-001                  6.3946027466762798E+000                  4.1274704350315004E+000                  5.1443438404980055E+000                 -5.8937899257357274E-001                  6.6666666666666663E-001                  1.2780010786814749E+019                  8.5321263501434206E-005                  5.9978741403329694E-001                  1.4225517035475145E-004                  3.9345842925555650E+002                  6.5600057388944822E+002                  1.0923655667391701E+008                  0.0000000000000000E+000                  1.1389803190327268E+000                  1.0327240518968365E+001                  1.9128056710871395E+000                  8.5353102212850862E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1986079796288829E+000                  1.0328716469089319E+001                  5.1636208322690502E-001                  7.8131084269017492E-008                  9.9999998979571758E-001                  9.9999994388004698E-001                  1.0000000000000000E+000                  7.8131084269017492E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2816144694755647E+034                  1.8845336127562921E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5248228673669022E+000                  6.0519942543122918E-001                  1.6332699670981366E+001                  6.1125127181111250E-001                  8.5114837128755867E-005                  7.1997536608710899E-001                  2.6600029356979787E-001                  1.6855205894203053E-003                  7.8714167330958906E-004                  6.5711003872472445E-003                  0.0000000000000000E+000                  1.8316842575900943E-003                  6.1644275234447017E-004                  6.5712999774571934E-003                  0.0000000000000000E+000                 -1.4266750356873106E-001                 -5.7511836336893274E-001                  1.4399732137945051E+001                  5.3200025827874997E+000                  1.1493382863576143E+000                  5.1985692062182514E+000                 -2.9628258284223993E+001                 -1.8536883562030631E+001                 -2.2371041344616476E+001                 -2.8417615824422217E+001                  5.5846169547218905E+000                  2.8119020238808756E-007                 -1.4498916082159697E-014                                        0                                      613                  9.7978795127250229E-001                  1.2357991374857779E-035                  1.0923655667391701E+008                  2.8401504735218424E+008                  1.2421200358860660E-008                  0.0000000000000000E+000                  3.1916847750031192E-007                  0.0000000000000000E+000                  2.2787493521042838E-009                  0.0000000000000000E+000                  1.1191986736635655E-008                  1.0000000000000000E+000                  6.8947724429494383E-010                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.1231576320622640E+000                  1.1191986736635655E-008 
                                       4                  1.6502181673948462E+002                  1.9999997412972625E+001                 -1.2874432578447854E-008                                     3382                  5.2693845449809722E+001                  4.4969481454287674E+000                  3.1401337408964973E+004                  3.5981491531126660E+004                  6.4090911926044196E+000                  3.5981491531126660E+004                  4.5560791620754557E+000                  8.0679645104468933E-001                  6.4090911926044196E+000                  4.1255046647011460E+000                  5.1447888442967020E+000                 -5.8870968222124631E-001                  6.6666666666666663E-001                  1.2790530322762162E+019                  8.5012339821901282E-005                  6.0020472862424068E-001                  1.4164157173234403E-004                  3.9290972286213042E+002                  6.5463028601705480E+002                  1.0911301526670422E+008                  0.0000000000000000E+000                  1.1386791065457613E+000                  1.0530305335353589E+001                  1.9389807284412464E+000                  8.4984951856667228E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1737540614691495E+000                  1.0533724923375424E+001                  5.2651533487315860E-001                  7.8131086156396634E-008                  9.9999998979571758E-001                  9.9999994388004698E-001                  1.0000000000000000E+000                  7.8131086156396634E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2688143647047764E+034                  1.8744003801159504E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5237212494184149E+000                  6.0155125694704792E-001                  1.6327998947702621E+001                  6.1125341551375545E-001                  8.4891709331920076E-005                  7.1997135653574240E-001                  2.6600034758732422E-001                  1.6617675544901354E-003                  8.1488265135620645E-004                  6.5710671255770504E-003                  0.0000000000000000E+000                  1.8316842575900921E-003                  6.1644275234446974E-004                  6.5712999774571908E-003                  0.0000000000000000E+000                 -1.4266750356873162E-001                 -5.7511836336893307E-001                  1.4399683057865271E+001                  5.3200031350504551E+000                  1.1456378276939865E+000                  5.1737133526568524E+000                 -2.9695346132305357E+001                 -1.8581474070278205E+001                 -2.2399716980558239E+001                 -2.8466049312593352E+001                  5.5598992087253940E+000                  3.6929514519284301E-007                  2.2086836511747371E-014                                        0                                      613                  9.7978796932449808E-001                  1.2389740489644988E-035                  1.0911301526670422E+008                  2.8369383969343096E+008                  1.2837490398325232E-008                  0.0000000000000000E+000                  3.1916846242240776E-007                  0.0000000000000000E+000                  2.3390124367809806E-009                  0.0000000000000000E+000                  1.1455832943449964E-008                  1.0000000000000000E+000                  7.3085593878645532E-010                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.1233560295955207E+000                  1.1455832943449964E-008 
                                       5                  1.9936782087388141E+002                  1.9999996969702867E+001                 -1.2906006844066213E-008                                     3381                  5.2693944963552553E+001                  4.4966521892654248E+000                  3.1379945809754863E+004                  3.6040518300275980E+004                  6.4230942734204151E+000                  3.6040518300275980E+004                  4.5567910279599459E+000                  8.0774429631362021E-001                  6.4230942734204151E+000                  4.1236089645378025E+000                  5.1450857547003119E+000                 -5.8829472674036609E-001                  6.6666666666666663E-001                  1.2783493156299911E+019                  8.4638094542877215E-005                  5.9974777964267612E-001                  1.4112547196751349E-004                  3.9197176837721082E+002                  6.5356512450911953E+002                  1.0899400973057131E+008                  0.0000000000000000E+000                  1.1385570864636076E+000                  1.0666218299402763E+001                  1.9587945981307913E+000                  8.4675283180508094E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1463285139503867E+000                  1.0669598985704656E+001                  5.3331099577467722E-001                  7.8131088043775776E-008                  9.9999998979571758E-001                  9.9999994429449912E-001                  1.0000000000000000E+000                  7.8131088043775776E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2546218198977119E+034                  1.8631228693926093E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5225262980838465E+000                  5.9758763172118690E-001                  1.6322894498598579E+001                  6.1125586182246261E-001                  8.4485797171850031E-005                  7.1996678032868722E-001                  2.6600041194318613E-001                  1.6346738147532715E-003                  8.4652549648119610E-004                  6.5710288603214526E-003                  0.0000000000000000E+000                  1.8316842575900928E-003                  6.1644275234446952E-004                  6.5712999774571873E-003                  0.0000000000000000E+000                 -1.4266750356873134E-001                 -5.7511836336893296E-001                  1.4399627749522740E+001                  5.3200037826741751E+000                  1.1417641743741351E+000                  5.1462855364195788E+000                 -2.9768221935963439E+001                 -1.8630340430332954E+001                 -2.2430645801294201E+001                 -2.8518639863943786E+001                  5.5326267641631910E+000                  2.9746252760036433E-007                 -1.5071673918732046E-014                                        0                                      612                  9.7978799104002057E-001                  1.2410065835185277E-035                  1.0899400973057131E+008                  2.8338442529948545E+008                  1.2889562800787163E-008                  0.0000000000000000E+000                  3.1916845007339054E-007                  0.0000000000000000E+000                  2.3519493950022837E-009                  0.0000000000000000E+000                  1.1485404436455947E-008                  1.0000000000000000E+000                  7.3991285551670817E-010                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.1231387893349896E+000                  1.1485404436455947E-008 
                                       6                  2.4058302583515754E+002                  1.9999996437414371E+001                 -1.2914857279488246E-008                                     3381                  5.2694527128414862E+001                  4.4961478806503408E+000                  3.1343528141507562E+004                  3.6044439643134065E+004                  6.4383790076593623E+000                  3.6044439643134065E+004                  4.5568382782494705E+000                  8.0877653868854904E-001                  6.4383790076593623E+000                  4.1215444682294446E+000                  5.1448886908177585E+000                 -5.8805041256828772E-001                  6.6666666666666663E-001                  1.2787867635372939E+019                  8.4295196860003036E-005                  5.9956608764421460E-001                  1.4059631759163530E-004                  3.9126908455892971E+002                  6.5259118506048378E+002                  1.0886455532600635E+008                  0.0000000000000000E+000                  1.1384951931086391E+000                  1.0788022369649259E+001                  1.9778440478490267E+000                  8.4357799398635793E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1157240897856555E+000                  1.0791057962413621E+001                  5.3940121456561363E-001                  7.8131090042177220E-008                  9.9999998979571758E-001                  9.9999994132917636E-001                  1.0000000000000000E+000                  7.8131090042177220E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2386377536546225E+034                  1.8503282550767999E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5211993810361895E+000                  5.9323495140957583E-001                  1.6317267863551720E+001                  6.1125858375163766E-001                  8.4128219415669232E-005                  7.1996168825692763E-001                  2.6600048714683777E-001                  1.6045474430276905E-003                  8.8171054582081147E-004                  6.5709858709959998E-003                  0.0000000000000000E+000                  1.8316842575900928E-003                  6.1644275234446963E-004                  6.5712999774571908E-003                  0.0000000000000000E+000                 -1.4266750356873140E-001                 -5.7511836336893274E-001                  1.4399565874031445E+001                  5.3200045394026558E+000                  1.1374422104002522E+000                  5.1156784309049197E+000                 -2.9849190130909502E+001                 -1.8684784368338295E+001                 -2.2465715306215753E+001                 -2.8577078913863147E+001                  5.5022288354523390E+000                  2.7070316843005447E-007                 -4.7217341727113200E-015                                        0                                      612                  9.7978801711651886E-001                  1.2411416426972807E-035                  1.0886455532600635E+008                  2.8304784384761655E+008                  1.2907541796387603E-008                  0.0000000000000000E+000                  3.1916843521822809E-007                  0.0000000000000000E+000                  2.3602514432831855E-009                  0.0000000000000000E+000                  1.1493303548807759E-008                  1.0000000000000000E+000                  7.4575750252227123E-010                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.1230524855523185E+000                  1.1493303548807759E-008 
                                       7                  2.9004127178868896E+002                  1.9999995800496091E+001                 -1.2877898723874924E-008                                     3381                  5.2695310241826185E+001                  4.4955128774300279E+000                  3.1297732722794903E+004                  3.6015530102245670E+004                  6.4546442610588111E+000                  3.6015530102245670E+004                  4.5564898114155223E+000                  8.0987231171220175E-001                  6.4546442610588111E+000                  4.1193529083516323E+000                  5.1445062327032609E+000                 -5.8801642128773857E-001                  6.6666666666666663E-001                  1.2796235913302757E+019                  8.3950253863816342E-005                  5.9940703689650920E-001                  1.4005813732554081E-004                  3.9061672760157069E+002                  6.5167600015063351E+002                  1.0872730153012185E+008                  0.0000000000000000E+000                  1.1384789314554031E+000                  1.0896080248762877E+001                  1.9960808565224917E+000                  8.4034882395324481E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0821944256674776E+000                  1.0900101605442725E+001                  5.4480412683349688E-001                  7.8131094261024714E-008                  9.9999998979571758E-001                  9.9999994132917636E-001                  1.0000000000000000E+000                  7.8131094261024714E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2209909004288254E+034                  1.8361103869679743E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5197603300487916E+000                  5.8854769663771178E-001                  1.6311194093645270E+001                  6.1126159060902763E-001                  8.3770143501248515E-005                  7.1995606258886269E-001                  2.6600057476776845E-001                  1.5712913795312316E-003                  9.2055131075662652E-004                  6.5709378433503468E-003                  0.0000000000000000E+000                  1.8316842575900924E-003                  6.1644275234446920E-004                  6.5712999774571856E-003                  0.0000000000000000E+000                 -1.4266750356873162E-001                 -5.7511836336893307E-001                  1.4399497113443712E+001                  5.3200054214256953E+000                  1.1328074016745626E+000                  5.0821456254578941E+000                 -2.9937084240405195E+001                 -1.8744208529515927E+001                 -2.2504262279553199E+001                 -2.8640513868219774E+001                  5.4689516454472153E+000                  2.4023101805810362E-007                 -4.5050602027596349E-015                                        0                                      612                  9.7978804831877042E-001                  1.2401462211593536E-035                  1.0872730153012185E+008                  2.8269098397831684E+008                  1.2862131726398401E-008                  0.0000000000000000E+000                  3.1916841737980888E-007                  0.0000000000000000E+000                  2.3608035299528641E-009                  0.0000000000000000E+000                  1.1460401340795415E-008                  1.0000000000000000E+000                  7.4614727113649280E-010                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.1229769728964201E+000                  1.1460401340795415E-008 
                                       8                  3.4939116693292658E+002                  1.9999995040027805E+001                 -1.2813304588537685E-008                                     3381                  5.2696274412321607E+001                  4.4947681425734061E+000                  3.1244108880026815E+004                  3.5961626213340787E+004                  6.4719706191835309E+000                  3.5961626213340787E+004                  4.5558393226471567E+000                  8.1103653704126322E-001                  6.4719706191835309E+000                  4.1170244411801464E+000                  5.1439774567269669E+000                 -5.8813813407980986E-001                  6.6666666666666663E-001                  1.2808022295914424E+019                  8.3599475592435860E-005                  5.9927916371535428E-001                  1.3950267723522640E-004                  3.8999808478820722E+002                  6.5078273441919566E+002                  1.0858166293590255E+008                  0.0000000000000000E+000                  1.1384942896584118E+000                  1.0990683349015459E+001                  2.0134676345382774E+000                  8.3701615202251653E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0458296066888977E+000                  1.0994797936244440E+001                  5.4953430373451628E-001                  7.8131099590095232E-008                  9.9999998979571758E-001                  9.9999994132917636E-001                  1.0000000000000000E+000                  7.8131099590095232E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2017020569736092E+034                  1.8204693976266912E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5182208761038192E+000                  5.8356902272392874E-001                  1.6304726890018337E+001                  6.1126489859569499E-001                  8.3412183432169499E-005                  7.1994987272926569E-001                  2.6600067684264861E-001                  1.5347341101880063E-003                  9.6324830047924694E-004                  6.5708843094583165E-003                  0.0000000000000000E+000                  1.8316842575900917E-003                  6.1644275234446909E-004                  6.5712999774571856E-003                  0.0000000000000000E+000                 -1.4266750356873201E-001                 -5.7511836336893329E-001                  1.4399421194592462E+001                  5.3200064471609494E+000                  1.1279603188920899E+000                  5.0457771330406080E+000                 -3.0031207060847120E+001                 -1.8808324315419654E+001                 -2.2545901156648718E+001                 -2.8708441787032086E+001                  5.4328883421752332E+000                  2.1344917319710469E-007                 -3.3203188709435929E-015                                        0                                      612                  9.7978808557366648E-001                  1.2382901605048221E-035                  1.0858166293590255E+008                  2.8231232363334662E+008                  1.2778584076795135E-008                  0.0000000000000000E+000                  3.1916839603496475E-007                  0.0000000000000000E+000                  2.3567349718104064E-009                  0.0000000000000000E+000                  1.1402784355614533E-008                  1.0000000000000000E+000                  7.4327933871060596E-010                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.1229162853318320E+000                  1.1402784355614533E-008 
                                       9                  4.2061104110601178E+002                  1.9999994133611949E+001                 -1.2727007246463042E-008                                     3381                  5.2697374606599944E+001                  4.4939377967527516E+000                  3.1184429029244035E+004                  3.5890516255114715E+004                  6.4903395797637513E+000                  3.5890516255114715E+004                  4.5549797053417391E+000                  8.1226742002986418E-001                  6.4903395797637513E+000                  4.1145626555203689E+000                  5.1433397436334269E+000                 -5.8836003829168815E-001                  6.6666666666666663E-001                  1.2822481237559964E+019                  8.3240153860671771E-005                  5.9917661213745754E-001                  1.3892684550487861E-004                  3.8939619077274631E+002                  6.4988957018733652E+002                  1.0842789768313970E+008                  0.0000000000000000E+000                  1.1385313335340754E+000                  1.1065885990950864E+001                  2.0292682597183731E+000                  8.3356107302927170E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0068004834607986E+000                  1.1071427482339779E+001                  5.5329446183954412E-001                  7.8131101255429769E-008                  9.9999998947685875E-001                  9.9999994132917636E-001                  1.0000000000000000E+000                  7.8131101255429769E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1808430150189069E+034                  1.8034431118039601E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5165992465435396E+000                  5.7836215763096066E-001                  1.6297946431456825E+001                  6.1126852899154638E-001                  8.3051842432420482E-005                  7.1994307847198558E-001                  2.6600079594109022E-001                  1.4946495841518808E-003                  1.0100657794842962E-003                  6.5708246538816661E-003                  0.0000000000000000E+000                  1.8316842575900937E-003                  6.1644275234446985E-004                  6.5712999774571908E-003                  0.0000000000000000E+000                 -1.4266750356873134E-001                 -5.7511836336893285E-001                  1.4399337879548650E+001                  5.3200076382374570E+000                  1.1230574444043939E+000                  5.0067437198970426E+000                 -3.0130460766346889E+001                 -1.8876646864506604E+001                 -2.2589965897247726E+001                 -2.8780071947706841E+001                  5.3942114431816535E+000                  1.8877987672682677E-007                 -2.5629700569731363E-015                                        0                                      612                  9.7978812997845233E-001                  1.2358416408834885E-035                  1.0842789768313970E+008                  2.8191253397616321E+008                  1.2665481360357248E-008                  0.0000000000000000E+000                  3.1916837054962833E-007                  0.0000000000000000E+000                  2.3491588790171859E-009                  0.0000000000000000E+000                  1.1325775514182567E-008                  1.0000000000000000E+000                  7.3795501674592508E-010                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                 -9.9999999999999997E+098                  0.0000000000000000E+000                  1.1228676330548322E+000                  1.1325775514182567E-008 
